ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3,pKaserror,pKaserror_1,pKaserror_2
201,3,2.8,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
202,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
203,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
204,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
205,3,0.6,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
206,3,4.9,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
207,3,3.74,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
208,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
209,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
210,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
211,3,0.23,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
212,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
213,3,3.63,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.25,0.1,0.1
214,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
215,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
216,3,-0.15,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
217,3,3.21,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
218,3,0.89,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.4,0.1,0.1
219,3,5.18,15,16,1,0,0,0,0,0,0,1,0,0,0,0.3,0.1,0.1
220,3,2.05,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
221,3,-0.3,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
222,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
223,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
224,3,0.71,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
225,3,2.56,4.21,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
226,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
227,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
228,3,5.59,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.46,0.1,0.1
229,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
230,3,4.84,15,16,1,0,0,0,0,0,0,2,1,1,1,0.1,0.1,0.1
231,3,0.63,15,16,1,0,0,0,0,0,0,1,0,0,0,0.4,0.1,0.1
232,3,3.55,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
233,3,-0.32,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
234,3,5,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
235,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
236,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
237,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
238,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
239,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
240,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
241,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
242,3,1.54,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
243,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
244,3,-0.16,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
245,3,2.55,4.15,16,-1,-1,0,0,-1,-2,-2,0,0,0,0,0.1,0.1,0.1
246,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
247,3,0.71,3.72,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
248,3,0.31,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
249,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
250,3,4.36,15,16,1,0,0,0,0,0,0,1,0,0,0,0.41,0.1,0.1
251,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
252,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
253,3,0.7,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
254,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
255,3,2.45,4.05,16,-1,-1,0,0,-1,-2,-2,0,0,0,0,0.1,0.1,0.1
256,3,2.6,4.34,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
257,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
258,3,3.15,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
259,3,0.93,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
260,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
261,3,0.93,15,16,1,0,0,0,0,0,0,1,0,0,0,0.18,0.1,0.1
262,3,-0.011,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
263,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
264,3,3.73,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
265,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
266,3,0.32,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
267,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
268,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
269,3,4.01,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
270,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
271,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
272,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
273,3,2.16,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
274,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
275,3,2.78,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
276,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
277,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
278,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
279,3,3.26,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
280,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
281,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
282,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
283,3,3.8,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
284,3,0.15,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
285,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
286,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
287,3,5.02,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
288,3,0.75,4.17,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.4,0.2,0.1
289,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
290,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
291,3,2.73,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
292,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
